National Park,Month,Total,Visitors,Visitor Type
Great Smoky Mountains,Jan,525801,4572,Overnight
Zion,Jan,172747,10078,Overnight
Yellowstone,Jan,35338,1654,Overnight
Grand Canyon,Jan,164922,24131,Overnight
Rocky Mountain,Jan,140715,447,Overnight
Acadia,Jan,20268,0,Overnight
Grand Teton,Jan,66585,117,Overnight
Yosemite,Jan,67284,0,Overnight
Indiana Dunes,Jan,86065,0,Overnight
Glacier,Jan,23417,146,Overnight
Great Smoky Mountains,Feb,502459,2475,Overnight
Zion,Feb,160232,10592,Overnight
Yellowstone,Feb,36897,1481,Overnight
Grand Canyon,Feb,161428,27850,Overnight
Rocky Mountain,Feb,133771,503,Overnight
Acadia,Feb,16123,0,Overnight
Grand Teton,Feb,53108,30,Overnight
Yosemite,Feb,128222,15153,Overnight
Indiana Dunes,Feb,93430,0,Overnight
Glacier,Feb,17238,70,Overnight
Great Smoky Mountains,Mar,931060,17203,Overnight
Zion,Mar,429455,24118,Overnight
Yellowstone,Mar,35611,1836,Overnight
Grand Canyon,Mar,317054,71057,Overnight
Rocky Mountain,Mar,155819,851,Overnight
Acadia,Mar,38060,0,Overnight
Grand Teton,Mar,74754,142,Overnight
Yosemite,Mar,159906,29912,Overnight
Indiana Dunes,Mar,171050,0,Overnight
Glacier,Mar,30976,216,Overnight
Great Smoky Mountains,Apr,1169469,51038,Overnight
Zion,Apr,469775,28839,Overnight
Yellowstone,Apr,67508,2816,Overnight
Grand Canyon,Apr,421232,80538,Overnight
Rocky Mountain,Apr,183792,2730,Overnight
Acadia,Apr,110096,0,Overnight
Grand Teton,Apr,87739,420,Overnight
Yosemite,Apr,257158,70949,Overnight
Indiana Dunes,Apr,234442,3568,Overnight
Glacier,Apr,53134,630,Overnight
Great Smoky Mountains,May,1363183,68039,Overnight
Zion,May,610301,32500,Overnight
Yellowstone,May,473799,46499,Overnight
Grand Canyon,May,484442,109595,Overnight
Rocky Mountain,May,335060,8451,Overnight
Acadia,May,324654,10471,Overnight
Grand Teton,May,364876,47570,Overnight
Yosemite,May,348006,92340,Overnight
Indiana Dunes,May,396362,4076,Overnight
Glacier,May,175277,10348,Overnight
Great Smoky Mountains,Jun,1539247,79597,Overnight
Zion,Jun,675799,32946,Overnight
Yellowstone,Jun,938845,190907,Overnight
Grand Canyon,Jun,538530,128620,Overnight
Rocky Mountain,Jun,671232,24568,Overnight
Acadia,Jun,661919,24435,Overnight
Grand Teton,Jun,757897,135787,Overnight
Yosemite,Jun,429980,166134,Overnight
Indiana Dunes,Jun,319611,4439,Overnight
Glacier,Jun,587237,52241,Overnight
Great Smoky Mountains,Jul,1730987,65921,Overnight
Zion,Jul,581496,39832,Overnight
Yellowstone,Jul,1080767,278184,Overnight
Grand Canyon,Jul,556766,110829,Overnight
Rocky Mountain,Jul,904767,30530,Overnight
Acadia,Jul,782146,38405,Overnight
Grand Teton,Jul,835846,160587,Overnight
Yosemite,Jul,509874,184151,Overnight
Indiana Dunes,Jul,594272,4235,Overnight
Glacier,Jul,796868,77980,Overnight
Great Smoky Mountains,Aug,1398161,48584,Overnight
Zion,Aug,466928,37697,Overnight
Yellowstone,Aug,921844,256667,Overnight
Grand Canyon,Aug,430684,89390,Overnight
Rocky Mountain,Aug,746343,28457,Overnight
Acadia,Aug,795437,38344,Overnight
Grand Teton,Aug,703118,154719,Overnight
Yosemite,Aug,432038,170131,Overnight
Indiana Dunes,Aug,437313,5878,Overnight
Glacier,Aug,670628,73096,Overnight
Great Smoky Mountains,Sep,1355599,46367,Overnight
Zion,Sep,483180,31246,Overnight
Yellowstone,Sep,882078,186388,Overnight
Grand Canyon,Sep,399321,101713,Overnight
Rocky Mountain,Sep,521233,20359,Overnight
Acadia,Sep,667301,28721,Overnight
Grand Teton,Sep,579888,119653,Overnight
Yosemite,Sep,356030,147887,Overnight
Indiana Dunes,Sep,343696,4777,Overnight
Glacier,Sep,533388,40493,Overnight
Great Smoky Mountains,Oct,1633547,63729,Overnight
Zion,Oct,469379,27283,Overnight
Yellowstone,Oct,316662,38693,Overnight
Grand Canyon,Oct,430734,90438,Overnight
Rocky Mountain,Oct,352736,8192,Overnight
Acadia,Oct,557624,11273,Overnight
Grand Teton,Oct,247945,15089,Overnight
