Monthly Visits by Park for 2021,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Great Smoky Mountains NP,"525,801","502,459","931,060","1,169,469","1,363,183","1,539,247","1,730,987","1,398,161","1,355,599","1,633,547","1,155,227","856,808"
Zion NP,"172,747","160,232","429,455","469,775","610,301","675,799","581,496","466,928","483,180","469,379","308,560","211,983"
Yellowstone NP,"35,338","36,897","35,611","67,508","473,799","938,845","1,080,767","921,844","882,078","316,662","33,144","37,749"
Grand Canyon NP,"164,922","161,428","317,054","421,232","484,442","538,530","556,766","430,684","399,321","430,734","346,971","280,593"
Rocky Mountain NP,"140,715","133,771","155,819","183,792","335,060","671,232","904,767","746,343","521,233","352,736","164,992","124,388"
Acadia NP,"20,268","16,123","38,060","110,096","324,654","661,919","782,146","795,437","667,301","557,624","81,089","14,381"
Grand Teton NP,"66,585","53,108","74,754","87,739","364,876","757,897","835,846","703,118","579,888","247,945","61,674","51,800"
Yosemite NP,"67,284","128,222","159,906","257,158","348,006","429,980","509,874","432,038","356,030","284,611","185,213","129,273"
Indiana Dunes NP,"86,065","93,430","171,050","234,442","396,362","319,611","594,272","437,313","343,696","253,640","144,881","102,448"
Glacier NP,"23,417","17,238","30,976","53,134","175,277","587,237","796,868","670,628","533,388","149,564","26,300","17,629"
